období,obvod,typ dat,kategorie,přestupek,počet,částka
2024-01-01,OŘ1,Počty zjištěných přestupků,Veřejný pořádek a zeleň,porušení nočního klidu,16,
2024-01-01,OŘ1,Počty zjištěných přestupků,Veřejný pořádek a zeleň,vzbuzování veřejného pohoršení,3,
2024-01-01,OŘ1,Počty zjištěných přestupků,Veřejný pořádek a zeleň,znečištění veřejného prostranství,22,
2024-01-01,OŘ1,Počty zjištěných přestupků,Veřejný pořádek a zeleň,neoprávněný zábor nebo poškozování veřejného prostranství,5,
2024-01-01,OŘ1,Počty zjištěných přestupků,Veřejný pořádek a zeleň,porušení OZV: požívání alkoh. nápojů na veř. prostranstvích,205,
2024-01-01,OŘ1,Počty zjištěných přestupků,Veřejný pořádek a zeleň,žebrání v rozporu s vyhláškou,442,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,zákaz vjezdu,451,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,zákaz zastavení,3005,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,zákaz stání,65,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,pěší zóna,1215,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,stání na chodníku,1231,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,modrá zóna,539,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,zelená a oranžová zóna,1,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,fialová zóna,45,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,zákaz vjezdu os. přepravníků,3,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,stání na přechodu pro chodce,173,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,stání v křižovatce,315,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,stání ve druhé řadě,21,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,jízda na červenou,2,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,přestupky chodců,23,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,přestupky cyklistů,55,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,překročení rychlosti o méně než 20 km/h,0,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,překročení rychlosti o 20 až 39 km/h,0,
2024-01-01,OŘ1,Počty zjištěných přestupků,Doprava,překročení rychlosti o 40 km/h a více,0,
